"label","dataset","embryo","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame"
"3D_Gap,stg[2]_green_1_z3_t52_E1.tif:0078-0085-1300:77","3D_Gap,stg[2]_green_1_z3_t52_E1.tif","Gap,stg[2]_green_1_z3_t52_E1","424","318","68","78","106","10","10.6"
"3D_Gap,stg[2]_green_1_z3_t52_E10.tif:0067-0108-1357:66","3D_Gap,stg[2]_green_1_z3_t52_E10.tif","Gap,stg[2]_green_1_z3_t52_E10","443","331","57","67","112","10","11.2"
"3D_Gap,stg[2]_green_1_z3_t52_E11.tif:0071-0097-1288:70","3D_Gap,stg[2]_green_1_z3_t52_E11.tif","Gap,stg[2]_green_1_z3_t52_E11","424","311","61","71","113","10","11.3"
"3D_Gap,stg[2]_green_1_z3_t52_E12.tif:0049-0088-1314:48","3D_Gap,stg[2]_green_1_z3_t52_E12.tif","Gap,stg[2]_green_1_z3_t52_E12","431","319","39","49","112","10","11.2"
"3D_Gap,stg[2]_green_1_z3_t52_E13.tif:0031-0097-1273:30","3D_Gap,stg[2]_green_1_z3_t52_E13.tif","Gap,stg[2]_green_1_z3_t52_E13","417","309","21","31","108","10","10.8"
"3D_Gap,stg[2]_green_1_z3_t52_E14.tif:0076-0094-1296:75","3D_Gap,stg[2]_green_1_z3_t52_E14.tif","Gap,stg[2]_green_1_z3_t52_E14","418","321","66","76","97","10","9.7"
"3D_Gap,stg[2]_green_1_z3_t52_E15.tif:0070-0087-1328:69","3D_Gap,stg[2]_green_1_z3_t52_E15.tif","Gap,stg[2]_green_1_z3_t52_E15","433","324","60","70","109","10","10.9"
"3D_Gap,stg[2]_green_1_z3_t52_E16.tif:0067-0111-1344:66","3D_Gap,stg[2]_green_1_z3_t52_E16.tif","Gap,stg[2]_green_1_z3_t52_E16","439","328","57","67","111","10","11.1"
"3D_Gap,stg[2]_green_1_z3_t52_E2.tif:0067-0089-1283:66","3D_Gap,stg[2]_green_1_z3_t52_E2.tif","Gap,stg[2]_green_1_z3_t52_E2","428","304","57","67","124","10","12.4"
"3D_Gap,stg[2]_green_1_z3_t52_E3.tif:0071-0101-1336:70","3D_Gap,stg[2]_green_1_z3_t52_E3.tif","Gap,stg[2]_green_1_z3_t52_E3","440","322","61","71","118","10","11.8"
"3D_Gap,stg[2]_green_1_z3_t52_E4.tif:0038-0098-1314:37","3D_Gap,stg[2]_green_1_z3_t52_E4.tif","Gap,stg[2]_green_1_z3_t52_E4","437","313","28","38","124","10","12.4"
"3D_Gap,stg[2]_green_1_z3_t52_E5.tif:0072-0089-1303:71","3D_Gap,stg[2]_green_1_z3_t52_E5.tif","Gap,stg[2]_green_1_z3_t52_E5","427","316","62","72","111","10","11.1"
"3D_Gap,stg[2]_green_1_z3_t52_E6.tif:0058-0116-1300:57","3D_Gap,stg[2]_green_1_z3_t52_E6.tif","Gap,stg[2]_green_1_z3_t52_E6","430","311","48","58","119","10","11.9"
"3D_Gap,stg[2]_green_1_z3_t52_E7.tif:0064-0100-1313:63","3D_Gap,stg[2]_green_1_z3_t52_E7.tif","Gap,stg[2]_green_1_z3_t52_E7","430","319","54","64","111","10","11.1"
