,Type,Sample,Fold,Time [min],Angle [degrees],Solidity
154,Btd,3,7,30,-38.14364457315263,0.40288127173373073
155,Btd,3,7,31,-36.51943903499091,0.4168443496801706
156,Btd,3,7,32,-36.26701422600815,0.3076923076923077
157,Btd,3,7,33,-36.97674714411194,0.2463462163039948
158,Btd,3,7,34,-38.6736249087199,0.3742162026586406
159,Btd,3,7,35,-39.294865268342065,0.31327094853253934
160,Btd,3,7,36,-36.73080166100902,0.20542521994134896
161,Btd,4,10,1,-41.57245615877819,0.5967413441955194
162,Btd,4,10,2,-42.52733325882719,0.7254901960784313
163,Btd,4,10,3,-41.77000789552523,0.691358024691358
164,Btd,4,10,4,-38.44602503824471,0.5836909871244635
165,Btd,4,10,5,-32.112184120460235,0.6616822429906543
166,Btd,4,10,6,-16.85481364250098,0.6593886462882096
167,Btd,4,10,7,-16.505843096244668,0.7426900584795322
168,Btd,5,13,1,-27.41407629179228,0.8611825192802056
169,Btd,5,13,2,-24.493840182303845,0.8358862144420132
170,Btd,5,13,3,-32.288688549058136,0.7943760984182777
171,Btd,5,13,4,-31.6021346660301,0.8620689655172413
172,Btd,5,13,5,-6.37410942806046,0.3520390379923318
173,Btd,5,13,5,-32.096939353718895,0.8006535947712419
174,Btd,5,13,6,-10.176612631834871,0.27757201646090535
175,Btd,5,13,6,-42.43379859515726,0.5761904761904761
176,Btd,5,13,6,-30.99813854018418,0.7842465753424658
177,Btd,5,13,7,-14.725241382602224,0.2426447816661505
178,Btd,5,13,7,-44.36226896710501,0.5727956254272044
179,Btd,5,13,7,-26.22535570845054,0.8793103448275862
180,Btd,5,13,8,-44.45905015396515,0.2685799601857996
181,Btd,5,13,8,-16.45446995157516,0.23005668463984516
182,Btd,5,13,8,-22.334610465440637,0.7981927710843374
183,Btd,5,13,9,-42.818046761018756,0.15564350407184718
184,Btd,5,13,9,-16.611204135619285,0.21422513025566461
185,Btd,5,13,10,-54.3537876751638,0.40794979079497906
186,Btd,5,13,10,-43.674929804866416,0.13351885842856298
187,Btd,5,13,10,-18.755435194587516,0.24794104898136107
188,Btd,5,13,11,-55.94219377481839,0.5323117921385743
189,Btd,5,13,11,-45.229517871895936,0.15261015496679284
190,Btd,5,13,11,-20.951220560275054,0.24554426277802327
191,Btd,5,13,12,-62.54213659277359,0.5727699530516432
192,Btd,5,13,12,-44.698350144593675,0.18664825046040515
193,Btd,5,13,12,-19.46400089401069,0.32457070171719316
194,Btd,5,13,13,-62.04336800026556,0.7318235995232419
195,Btd,5,13,13,-42.44199473606714,0.26629559103559397
196,Btd,5,13,13,-16.829383386994774,0.3606303280805993
197,Btd,5,13,14,-62.47823954435024,0.8134796238244514
198,Btd,5,13,14,-42.248842140947325,0.2716335030078667
199,Btd,5,13,14,-16.45368146723375,0.38368312148980194
200,Btd,5,13,15,-41.16485290860512,0.32381180988958236
201,Btd,5,13,15,-15.985118914376812,0.6140077821011674
202,Btd,5,13,16,-36.49179888782762,0.36823104693140796
203,Btd,5,13,16,-16.73995756333418,0.6794425087108014
