,Unnamed: 0,Time,Angle,Tortuosity,Angle Diference,Label
15,15,15,55.84005788018292,1.069335609073612,-17.54708724193751,WT
16,16,16,54.40559521107518,1.074795793438078,-18.98154991104525,WT
17,17,17,52.475185676143646,1.10154915288827,-20.911959445976784,WT
18,18,18,50.69007134033121,1.106356463894576,-22.69707378178922,WT
19,19,19,49.17699660897121,1.099643013651487,-24.21014851314922,WT
20,20,20,49.93323856896961,1.099365393385158,-23.453906553150823,WT
21,21,21,51.00478596671789,1.092639909299032,-22.38235915540254,WT
22,22,22,52.26962430288295,1.097539954238353,-21.117520819237484,WT
23,23,23,53.67794442294246,1.108993802553288,-19.70920069917797,WT
24,24,24,54.05635739352868,1.116339552026891,-19.33078772859175,WT
25,25,25,54.80622337193687,1.107694301675866,-18.580921750183563,WT
26,26,26,55.44145828550473,1.114699152193803,-17.9456868366157,WT
27,27,27,55.48463874143755,1.125001640620335,-17.90250638068288,WT
28,28,28,56.96662586679024,1.1290267629982211,-16.42051925533019,WT
29,29,29,55.58286710698609,1.129749448346735,-17.804278015134336,WT
30,30,30,55.9699578329128,1.136632844584577,-17.417187289207625,WT
31,31,31,55.13624103715895,1.127601288727702,-18.25090408496148,WT
32,32,32,55.96495813444036,1.1267081439736,-17.42218698768007,WT
33,33,33,54.91032570017161,1.136081090529555,-18.476819421948814,WT
34,34,34,57.086034648954985,1.130884379006298,-16.301110473165444,WT
35,35,35,57.81567985232535,1.131674858238853,-15.571465269795077,WT
36,36,36,60.4259800776183,1.132237087964322,-12.961165044502131,WT
0,0,0,70.24409697175565,1.075295204253644,0.0,WT
1,1,1,70.87812294184043,1.076413318288489,0.6340259700847781,WT
2,2,2,71.12648228044043,1.077209191108529,0.8823853086847748,WT
3,3,3,70.43558132513697,1.077457013184552,0.1914843533813126,WT
4,4,4,69.1509730064193,1.0788533368502,-1.0931239653363465,WT
5,5,5,68.28892117089366,1.080275244461105,-1.9551758008619944,WT
6,6,6,67.7857001536038,1.080612722959885,-2.4583968181518543,WT
7,7,7,66.24260332574701,1.080647364187307,-4.00149364600864,WT
8,8,8,64.76360782325078,1.080308779728583,-5.480489148504873,WT
9,9,9,63.15272136788162,1.079687681902495,-7.0913756038740345,WT
10,10,10,62.30303900494286,1.07893082619424,-7.941057966812792,WT
11,11,11,61.716489679778846,1.073216007598614,-8.527607291976807,WT
12,12,12,60.290674030160346,1.07574771855977,-9.953422941595306,WT
13,13,13,59.67577258975161,1.072459664870366,-10.568324382004043,WT
14,14,14,59.57468579003542,1.074550810447538,-10.669411181720236,WT
15,15,15,59.87970154780068,1.066691151352469,-10.364395423954974,WT
16,16,16,58.72359640812764,1.070497239112551,-11.520500563628012,WT
17,17,17,58.4959257125236,1.065082544780395,-11.748171259232052,WT
18,18,18,59.32050030007339,1.069088924747533,-10.923596671682262,WT
0,0,0,75.74950265035274,1.065196704649262,0.0,WT
1,1,1,74.49868327745912,1.072089647937062,-1.2508193728936163,WT
2,2,2,73.6584470661425,1.072810399616516,-2.0910555842102383,WT
3,3,3,72.18105665810123,1.076393997704163,-3.568445992251512,WT
4,4,4,71.20558953140753,1.077639888627088,-4.543913118945213,WT
5,5,5,68.5061348468784,1.080728138096176,-7.243367803474342,WT
6,6,6,67.74580501866176,1.080942611655627,-8.003697631690983,WT
7,7,7,66.2234924564493,1.080556722883935,-9.526010193903431,WT
8,8,8,65.21830034648771,1.079640813698069,-10.53120230386503,WT
9,9,9,64.0245130531637,1.07833456175858,-11.724989597189037,WT
10,10,10,64.68876944051496,1.081493788107683,-11.060733209837778,WT
11,11,11,64.58901452768691,1.084081756872734,-11.160488122665823,WT
12,12,12,62.26917492703794,1.07560068011767,-13.4803277233148,WT
13,13,13,60.98538623102069,1.086485393587444,-14.764116419332057,WT
14,14,14,60.85640493873416,1.081725432069541,-14.89309771161858,WT
15,15,15,60.75315979924025,1.087910596536275,-14.996342851112487,WT
16,16,16,60.52684148109188,1.074014750363567,-15.22266116926086,WT
17,17,17,61.45431969867708,1.076879739054139,-14.295182951675663,WT
18,18,18,61.33376685982636,1.080339164103273,-14.415735790526384,WT
