,Type,Sample,Fold,Time [min],Angle [degrees],Solidity
255,WT,10,0,29,-28.530398028403077,0.1402810534591195
256,WT,10,0,30,-27.660773016006498,0.15065142249401756
257,WT,10,0,31,-28.276401899675776,0.12194310430876726
258,WT,10,0,32,-27.658991077504105,0.13195103220851967
259,WT,10,0,33,-27.26022828941922,0.13018515221648566
260,WT,10,0,34,-26.337748689990182,0.12999863828242023
261,WT,11,0,0,-4.766450147245358,0.810377358490566
262,WT,11,0,1,-7.2847916271081,0.5419382877009996
263,WT,11,0,2,-12.560463848364385,0.5304511278195488
264,WT,11,0,3,-13.145689051746805,0.4708963911525029
265,WT,11,0,4,-15.702416284209015,0.47155727155727156
266,WT,11,0,5,-17.993801958137833,0.5887926367081754
267,WT,11,0,6,-19.236429020786566,0.39867549668874175
268,WT,11,0,7,-20.5774342306449,0.45077891945641363
269,WT,11,0,8,-21.698313905599253,0.2773933102652826
270,WT,11,0,9,-23.86621619173824,0.21328081035453011
271,WT,11,0,10,-24.334390292617854,0.19985136557874528
272,WT,11,0,11,-25.78324446454454,0.15411041757391009
273,WT,11,0,12,-27.42869429034768,0.13781799108313664
274,WT,11,0,13,-29.58742584289928,0.12705825516325134
275,WT,11,0,14,-30.047491142811463,0.12563532401524777
276,WT,11,0,15,-29.988392384115066,0.13646036916395224
277,WT,11,0,16,-31.187488970498627,0.12616217964265503
278,WT,11,0,17,-32.18510824241214,0.1175292896336942
279,WT,11,0,18,-32.64853016669066,0.11809415768576291
