Unnamed: 0,Type,Sample,Fold,Time [min],Angle [degrees],Solidity,Angle Corr
0,Btd,1,1,0,-8.762550014961882,0.8058035714285714,81.23744998503813
1,Btd,1,1,1,-13.333803230891323,0.6891651865008881,76.66619676910868
2,Btd,1,1,2,-15.93897053338359,0.559850374064838,74.06102946661642
3,Btd,1,1,3,-15.842106871038633,0.7541984732824427,74.15789312896136
4,Btd,1,1,4,-18.509207048325152,0.7712230215827338,71.49079295167485
5,Btd,1,1,5,-19.340779091780828,0.7520891364902507,70.65922090821917
6,Btd,1,1,6,-19.21625090995641,0.6466257668711657,70.78374909004359
7,Btd,1,1,7,-17.25216698603694,0.7716129032258064,72.74783301396306
8,Btd,1,1,8,-6.202385093568514,0.6103522645578721,83.79761490643149
9,Btd,1,1,8,-19.598089439333695,0.7321225879682179,70.40191056066631
10,Btd,1,1,9,-4.463932907685796,0.497130933750652,85.5360670923142
11,Btd,1,1,9,-20.831937961150672,0.5567010309278351,69.16806203884933
12,Btd,1,1,10,-7.2594590852791985,0.5773346303501945,82.7405409147208
13,Btd,1,1,10,-38.34041704039945,0.5563598759048604,51.65958295960055
14,Btd,1,1,10,-23.11980657423872,0.573103448275862,66.88019342576128
15,Btd,1,1,11,-9.889997181309363,0.3909306461173681,80.11000281869063
16,Btd,1,1,11,-36.32296970255666,0.2821295354357409,53.67703029744334
17,Btd,1,1,11,-22.717955454114406,0.5368543238537434,67.2820445458856
18,Btd,1,1,12,-36.08482545026203,0.6977152899824253,53.91517454973797
19,Btd,1,1,12,-10.582028217081918,0.267639902676399,79.41797178291809
20,Btd,1,1,12,-43.466926657216135,0.2720214190093708,46.533073342783865
21,Btd,1,1,12,-23.86809696504956,0.6398648648648648,66.13190303495044
22,Btd,1,1,13,-39.04832149372761,0.6963434022257552,50.95167850627239
23,Btd,1,1,13,-11.813884693667577,0.209015448466682,78.18611530633243
24,Btd,1,1,13,-44.69363197666879,0.2479372937293729,45.30636802333121
25,Btd,1,1,13,-27.581860340167506,0.6095297029702971,62.41813965983249
26,Btd,1,1,14,-45.74603433452816,0.7630331753554502,44.25396566547184
27,Btd,1,1,14,-13.734255448508764,0.224283305227656,76.26574455149124
28,Btd,1,1,14,-48.699378692462126,0.1889299904096451,41.300621307537874
29,Btd,1,1,14,-29.223122956787886,0.5403181568842568,60.77687704321211
30,Btd,1,1,15,-46.65383608033723,0.6744548286604362,43.34616391966277
31,Btd,1,1,15,-15.167115756460904,0.185838991270611,74.8328842435391
32,Btd,1,1,15,-49.81210437594313,0.1659489549417078,40.18789562405687
33,Btd,1,1,15,-30.00586921273837,0.6831976313841599,59.994130787261625
34,Btd,1,1,16,-45.276133446585405,0.5285815102328864,44.723866553414595
35,Btd,1,1,16,-15.288599608983532,0.186448469247035,74.71140039101647
36,Btd,1,1,16,-48.10793247580723,0.169392523364486,41.89206752419277
37,Btd,1,1,16,-34.376664684185585,0.6057422969187675,55.623335315814415
38,Btd,1,1,17,-50.07890710914,0.3921023359288098,39.92109289086
39,Btd,1,1,17,-15.26582881819686,0.1869984672256784,74.73417118180313
40,Btd,1,1,17,-46.3021019158891,0.1504826334460853,43.6978980841109
41,Btd,1,1,17,-34.795342494613834,0.5587614356087263,55.204657505386166
42,Btd,1,1,18,-51.98057598157407,0.4912790697674418,38.01942401842593
43,Btd,1,1,18,-15.297890467002691,0.2016563944530046,74.70210953299731
44,Btd,1,1,18,-46.720158748000514,0.1549646529562982,43.279841251999486
45,Btd,1,1,18,-34.46833886861361,0.6511415525114155,55.53166113138639
46,Btd,1,1,19,-54.26443860374867,0.6509388541165142,35.73556139625133
47,Btd,1,1,19,-14.301423968184428,0.298396674584323,75.69857603181558
48,Btd,1,1,19,-46.63819354787952,0.1854244473604522,43.36180645212048
49,Btd,1,1,19,-32.16258417696011,0.6398406374501993,57.83741582303989
50,Btd,1,1,20,-55.27935226111356,0.5818337617823479,34.72064773888644
51,Btd,1,1,20,-14.408737419695278,0.2933576531387749,75.59126258030471
52,Btd,1,1,20,-47.68113188824508,0.2002922333370799,42.31886811175492
53,Btd,1,1,20,-30.7880789794047,0.67591763652641,59.2119210205953
54,Btd,1,1,21,-56.81401311326103,0.4705661792275965,33.18598688673897
55,Btd,1,1,21,-14.12972155668663,0.2602739726027397,75.87027844331337
56,Btd,1,1,21,-46.38512847721693,0.1964876268673737,43.61487152278307
57,Btd,1,1,21,-31.610991573949825,0.6914132379248659,58.389008426050175
58,Btd,1,1,22,-57.98400290804722,0.4893882646691635,32.01599709195278
59,Btd,1,1,22,-14.490487688857357,0.2206215970961887,75.50951231114264
60,Btd,1,1,22,-46.08009005704353,0.221947087188844,43.91990994295647
61,Btd,1,1,22,-29.27294596599175,0.689275893675527,60.72705403400825
62,Btd,1,1,23,-57.05119339590543,0.3764627214978268,32.94880660409457
63,Btd,1,1,23,-13.969610210874512,0.2370979805534779,76.0303897891255
64,Btd,1,1,23,-45.29470036587728,0.2139570552147239,44.70529963412272
65,Btd,1,1,23,-22.358183896507175,0.8481481481481481,67.64181610349283
66,Btd,1,1,24,-58.63414759893154,0.3923444976076555,31.36585240106846
67,Btd,1,1,24,-9.923745548437385,0.2461046188091263,80.07625445156262
68,Btd,1,1,24,-45.31053113397942,0.2587501997762506,44.68946886602058
69,Btd,1,1,25,-58.798902237110056,0.5198107628622117,31.201097762889944
70,Btd,1,1,25,-9.475342940018496,0.2235334555453712,80.52465705998151
71,Btd,1,1,25,-43.00793600773883,0.2543145555193748,46.99206399226117
72,Btd,1,1,26,-59.202548996074114,0.554789800137836,30.797451003925886
73,Btd,1,1,26,-8.392286986956465,0.2153078202995008,81.60771301304354
74,Btd,1,1,26,-41.819616607264926,0.2396878483835005,48.180383392735074
75,Btd,1,1,27,-54.209582167858535,0.5694330320460148,35.790417832141465
76,Btd,1,1,27,-6.89499700510332,0.2293049467752035,83.10500299489668
77,Btd,1,1,27,-37.10083364146496,0.3076723691031622,52.89916635853504
78,Btd,1,1,28,-54.101333788498096,0.653475935828877,35.898666211501904
79,Btd,1,1,28,-5.801940066754384,0.1763266842303349,84.19805993324562
80,Btd,1,1,28,-33.328667735185235,0.4532335649385355,56.671332264814765
81,Btd,1,1,29,-53.05809620246556,0.6441717791411042,36.94190379753444
82,Btd,1,1,29,-3.4788982231348418,0.1727619047619047,86.52110177686515
83,Btd,1,1,29,-30.9768834385051,0.4301929625425653,59.0231165614949
84,Btd,1,1,30,-0.9650341363009236,0.1707996656450264,89.03496586369907
85,Btd,1,1,30,-27.204970159889463,0.5181467181467182,62.79502984011054
95,Btd,2,4,0,-13.006071753108204,0.3190292986090559,76.9939282468918
96,Btd,2,4,0,-19.728842421969365,0.6459694989106753,70.27115757803064
97,Btd,2,4,1,-15.861805469319824,0.2454334108269678,74.13819453068018
98,Btd,2,4,1,-7.402623625275307,0.2645113886847905,82.59737637472469
99,Btd,2,4,2,-15.47357093494315,0.282876064333018,74.52642906505685
100,Btd,2,4,2,-12.851529545092957,0.2885644768856448,77.14847045490704
101,Btd,2,4,3,-16.990581169748438,0.3395104895104895,73.00941883025156
102,Btd,2,4,3,-22.767601663374425,0.3602453987730061,67.23239833662558
103,Btd,2,4,4,-18.61133294740288,0.3339872486512996,71.38866705259713
104,Btd,2,4,4,-25.194277097261757,0.4490950226244344,64.80572290273824
105,Btd,2,4,5,-17.831830455733627,0.2174749417839425,72.16816954426638
106,Btd,2,4,5,-30.32033000575728,0.441394455119407,59.679669994242715
107,Btd,2,4,6,-20.310168629277,0.2296272214997832,69.689831370723
108,Btd,2,4,6,-30.190979026778,0.4513723150357995,59.809020973222005
109,Btd,2,4,7,-23.533164746332137,0.2315886984715146,66.46683525366787
110,Btd,2,4,7,-30.369421436828684,0.5087157595161864,59.63057856317131
111,Btd,2,4,8,-24.864861557381,0.2113655821917808,65.135138442619
112,Btd,2,4,8,-29.939452612830703,0.544973544973545,60.060547387169294
113,Btd,2,4,9,-30.32238560440363,0.6610978520286396,59.677614395596365
114,Btd,2,4,9,-27.316113937498205,0.2504933746828305,62.6838860625018
