"embryo","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","time_tf_buck","time_tf_deep"
"rgap_1b_z3_t60s_E14","3D_rgap_1b_z3_t60s_E14.tif:0061-0228-0984:60",493,35,528,491,319,456,284,7.50507099391481,42.393509127789,30,39,61,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,9,31
"rgap_1b_z3_t60s_E15","3D_rgap_1b_z3_t60s_E15.tif:0081-0249-0998:80",508,31,539,494,328,463,297,8.85826771653542,41.5354330708661,48,58,81,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,10,33
"rgap_1b_z3_t60s_E16","3D_rgap_1b_z3_t60s_E16.tif:0053-0254-0976:52",502,28,530,480,312,452,284,9.9601593625498,43.4262948207171,24,33,53,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,3,NA,3,TRUE,9,29
"rgap_1b_z3_t60s_E17","3D_rgap_1b_z3_t60s_E17.tif:0078-0245-0983:77",508,27,535,491,317,464,290,8.66141732283464,42.9133858267717,44,55,78,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,11,34
"rgap_1b_z3_t60s_E2","3D_rgap_1b_z3_t60s_E2.tif:0088-0270-0981:87",483,39,522,477,308,438,269,9.3167701863354,44.3064182194617,61,69,88,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,1,NA,1,FALSE,8,27
"rgap_1b_z3_t60s_E3","3D_rgap_1b_z3_t60s_E3.tif:0050-0255-0968:49",487,33,520,490,330,457,297,6.16016427104724,39.0143737166324,27,34,50,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,3,NA,3,TRUE,7,23
"rgap_1b_z3_t60s_E4","3D_rgap_1b_z3_t60s_E4.tif:0074-0212-0970:73",492,31,523,488,315,457,284,7.11382113821138,42.2764227642276,50,54,74,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,4,24
"rgap_1b_z3_t60s_E5","3D_rgap_1b_z3_t60s_E5.tif:0074-0198-0974:73",491,33,524,474,337,441,304,10.183299389002,38.0855397148676,54,60,74,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,3,NA,3,TRUE,6,20
"rgap_1b_z3_t60s_E6","3D_rgap_1b_z3_t60s_E6.tif:0077-0237-0987:76",491,37,528,467,326,430,289,12.4236252545825,41.1405295315682,53,60,77,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,7,24
"rgap_1b_z3_t60s_E7","3D_rgap_1b_z3_t60s_E7.tif:0070-0191-0991:69",491,38,529,483,323,445,285,9.36863543788188,41.9551934826884,44,50,70,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,6,26
"rgap_1b_z3_t60s_E8","3D_rgap_1b_z3_t60s_E8.tif:0063-0225-0970:62",503,26,529,502,309,476,283,5.36779324055667,43.7375745526839,37,40,63,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,3,26
"rgap_1b_z3_t60s_E9","3D_rgap_1b_z3_t60s_E9.tif:0084-0187-0974:83",503,27,530,486,313,459,286,8.74751491053678,43.1411530815109,56,62,84,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,1,NA,1,FALSE,6,28
