 	Label	Angle	Length
94	eve-gap_dorsal_1_z3_t52s_E12:L_1:c:2/2 z:2/15 t:84/173 - eve-gap_dorsal_1_z3_t52s #12	89.3	62.4
95	eve-gap_dorsal_1_z3_t52s_E17:R_1:c:2/2 z:7/15 t:50/173 - eve-gap_dorsal_1_z3_t52s #17	-95.4	43.6
96	eve-gap_dorsal_1_z3_t52s_E17:L_1:c:2/2 z:7/15 t:50/173 - eve-gap_dorsal_1_z3_t52s #17	84.1	58.0
97	eve-gap_dorsal_1_z3_t52s_E17:R_2:c:2/2 z:7/15 t:47/173 - eve-gap_dorsal_1_z3_t52s #17	-82.4	36.6
98	eve-gap_dorsal_1_z3_t52s_E19:R_1:c:2/2 z:3/15 t:8/173 - eve-gap_dorsal_1_z3_t52s #19	-104.6	44.1
99	eve-gap_dorsal_1_z3_t52s_E19:L_1:c:2/2 z:10/15 t:18/173 - eve-gap_dorsal_1_z3_t52s #19	76.5	28.2
100	eve-gap_dorsal_1_z3_t52s_E2:R_1:c:2/2 z:5/15 t:64/174 - eve-gap_dorsal_1_z3_t52s #02	-91.4	59.9
101	eve-gap_dorsal_1_z3_t52s_E2:L_1:c:2/2 z:5/15 t:66/174 - eve-gap_dorsal_1_z3_t52s #02	95.1	60.9
102	eve-gap_dorsal_1_z3_t52s_E4:R_1:c:2/2 z:1/15 t:71/174 - eve-gap_dorsal_1_z3_t52s #04	-110.8	53.9
103	eve-gap_dorsal_1_z3_t52s_E4:L_1:c:2/2 z:7/15 t:76/174 - eve-gap_dorsal_1_z3_t52s #04	99.4	66.5
104	eve-gap_dorsal_1_z3_t52s_E8:R_1:c:2/2 z:2/15 t:84/174 - eve-gap_dorsal_1_z3_t52s #08	-89.8	36.8
105	eve-gap_dorsal_1_z3_t52s_E8:R_2:c:2/2 z:2/15 t:82/174 - eve-gap_dorsal_1_z3_t52s #08	-115.8	50.2
106	eve-gap_dorsal_1_z3_t52s_E8:L_1:c:2/2 z:2/15 t:90/174 - eve-gap_dorsal_1_z3_t52s #08	92.2	59.0
107	eve-gap_dorsal_1_z3_t52s_E9:L_1:c:2/2 z:9/15 t:87/174 - eve-gap_dorsal_1_z3_t52s #09	87.6	43.4
108	eve-gap_dorsal_1_z3_t52s_E9:L_2:c:2/2 z:8/15 t:86/174 - eve-gap_dorsal_1_z3_t52s #09	81.7	27.7
109	eve-gap_dorsal_1_z3_t52s_E9:L_3:c:2/2 z:9/15 t:82/174 - eve-gap_dorsal_1_z3_t52s #09	108.8	63.9
110	eve-gap_dorsal_1_z3_t52s_E9:R_1:c:2/2 z:13/15 t:86/174 - eve-gap_dorsal_1_z3_t52s #09	-54.7	41.5
111	eve-gap_dorsal_1_z3_t52s_E9:R_2:c:2/2 z:9/15 t:78/174 - eve-gap_dorsal_1_z3_t52s #09	-74.2	33.5
112	eve-gap_dorsal_1_z3_t52s_E9:R_3:c:2/2 z:9/15 t:85/174 - eve-gap_dorsal_1_z3_t52s #09	-112.9	63.2
113	eve-gap_dorsal_2_z3_t53s_E11:R_1:c:2/2 z:1/15 t:47/175 - eve-gap_dorsal_2_z3_t53s #11	-102.9	60.3
114	eve-gap_dorsal_2_z3_t53s_E11:R_2:c:2/2 z:1/15 t:51/175 - eve-gap_dorsal_2_z3_t53s #11	-80.7	30.1
115	eve-gap_dorsal_2_z3_t53s_E11:L_1:c:2/2 z:1/15 t:49/175 - eve-gap_dorsal_2_z3_t53s #11	97.0	58.7
116	eve-gap_dorsal_2_z3_t53s_E11:L_2:c:2/2 z:1/15 t:51/175 - eve-gap_dorsal_2_z3_t53s #11	88.4	40.8
117	eve-gap_dorsal_2_z3_t53s_E12:R_1:c:2/2 z:8/15 t:85/175 - eve-gap_dorsal_2_z3_t53s #12	-108.6	62.6
118	eve-gap_dorsal_2_z3_t53s_E12:L_1:c:2/2 z:9/15 t:88/175 - eve-gap_dorsal_2_z3_t53s #12	99.8	68.1
119	eve-gap_dorsal_2_z3_t53s_E13:R_1:c:2/2 z:1/15 t:79/175 - eve-gap_dorsal_2_z3_t53s #13	-101.9	49.9
120	eve-gap_dorsal_2_z3_t53s_E13:L_1:c:2/2 z:1/15 t:80/175 - eve-gap_dorsal_2_z3_t53s #13	104.1	58.6
121	eve-gap_dorsal_2_z3_t53s_E14:R_1:c:2/2 z:5/15 t:83/175 - eve-gap_dorsal_2_z3_t53s #14	-74.7	36.7
