"time","angle","tortuosity","angle_diff","type"
11,64.5890145276869,1.08408175687273,-11.1604881226658,"control"
12,62.2691749270379,1.07560068011767,-13.4803277233148,"control"
13,60.9853862310207,1.08648539358744,-14.7641164193321,"control"
14,60.8564049387342,1.08172543206954,-14.8930977116186,"control"
15,60.7531597992403,1.08791059653628,-14.9963428511125,"control"
16,60.5268414810919,1.07401475036357,-15.2226611692609,"control"
17,61.4543196986771,1.07687973905414,-14.2951829516757,"control"
18,61.3337668598264,1.08033916410327,-14.4157357905264,"control"
0,59.3644935485174,1.07175367548436,0,"btd"
1,60.9318921894411,1.07371510713396,1.5673986409237,"btd"
2,60.0332100493967,1.06632964495072,0.66871650087927,"btd"
3,56.215369944886,1.05447593293289,-3.14912360363149,"btd"
4,54.9578569866057,1.05549821128991,-4.40663656191171,"btd"
5,53.7190758221243,1.04945610026765,-5.64541772639317,"btd"
6,52.0110401710954,1.05111454464666,-7.35345337742201,"btd"
7,52.4818553558682,1.04523028003376,-6.88263819264928,"btd"
8,51.8682755570638,1.06330667379607,-7.49621799145362,"btd"
9,52.8672146288403,1.06105140061656,-6.49727891967716,"btd"
10,52.6000756851173,1.06938428351255,-6.76441786340011,"btd"
11,51.9782245272281,1.06491656246387,-7.38626902128934,"btd"
12,51.972374470204,1.04283772784561,-7.39211907831346,"btd"
13,52.7959860010808,1.06014822229255,-6.56850754743664,"btd"
14,52.6768675019558,1.05985914749875,-6.68762604656166,"btd"
15,52.2099352797262,1.04785335359358,-7.15455826879124,"btd"
16,54.0776641686445,1.05208757320875,-5.28682937987291,"btd"
17,53.2505555809127,1.05855103171017,-6.11393796760478,"btd"
18,53.4056452713016,1.06259831131159,-5.95884827721589,"btd"
19,53.173213933846,1.0597713999806,-6.19127961467142,"btd"
20,53.0429144150497,1.06744783263622,-6.32157913346775,"btd"
21,53.0347523389915,1.07165016646115,-6.32974120952591,"btd"
22,54.8443494878839,1.07848011307024,-4.52014406063357,"btd"
23,54.9101207944965,1.06472449513021,-4.45437275402093,"btd"
24,54.6342528690143,1.07303251074795,-4.73024067950316,"btd"
25,52.8250484559992,1.05903220200622,-6.53944509251824,"btd"
26,52.4108589545405,1.0488057029532,-6.95363459397698,"btd"
27,53.0167991867582,1.05314731070603,-6.3476943617593,"btd"
28,52.3466654216261,1.05458336602433,-7.01782812689134,"btd"
29,51.8503087444521,1.0384021225567,-7.51418480406534,"btd"
30,53.4860400129272,1.04523689195367,-5.87845353559025,"btd"
0,62.5433182297547,1.06630364504834,0,"btd"
1,65.6060092045343,1.07109096415655,3.06269097477956,"btd"
2,57.4874209608145,1.05778536514781,-5.0558972689402,"btd"
3,58.3665824202111,1.0616895470667,-4.17673580954367,"btd"
4,57.9281662377663,1.05814005849237,-4.61515199198845,"btd"
4,83.5932304214929,1.06175732063435,21.0499121917381,"btd"
5,58.7772680346256,1.0624650909971,-3.76605019512914,"btd"
5,47.5294013019078,1.04581278186268,-15.0139169278469,"btd"
5,79.7806461475484,1.07406486262747,17.2373279177937,"btd"
6,63.8108647359257,1.06762754633227,1.26754650617097,"btd"
6,45.6970596230793,1.04973220084621,-16.8462586066754,"btd"
6,75.0272101456239,1.10138722960614,12.4838919158691,"btd"
7,67.1632308635947,1.06646079687231,4.61991263383995,"btd"
7,73.3826645180249,1.12246319376724,10.8393462882702,"btd"
7,45.4080333381611,1.08117737393412,-17.1352848915937,"btd"
8,73.1604101624327,1.10522116534502,10.6170919326779,"btd"
8,47.2627916978455,1.10964816560572,-15.2805265319092,"btd"
9,71.0837731075604,1.09288718498081,8.54045487780561,"btd"
9,46.4808579812841,1.12603437855747,-16.0624602484706,"btd"
9,35.3179041603279,1.08757165475999,-27.2254140694268,"btd"
10,68.940849066793,1.09253989865927,6.3975308370383,"btd"
10,44.9631557967615,1.11148182585354,-17.5801624329933,"btd"
10,33.9679787425775,1.05553478549765,-28.5753394871773,"btd"
11,70.3988553979698,1.07480362262123,7.85553716821507,"btd"
11,45.3561273155636,1.08922390076774,-17.1871909141912,"btd"
11,27.3570659656788,1.073086968059,-35.186252264076,"btd"
12,73.0576021550456,1.08199769992565,10.5142839252909,"btd"
12,47.4923031294309,1.05897136522256,-15.0510151003239,"btd"
12,27.804597035571,1.07108206103386,-34.7387211941838,"btd"
13,73.3398733828748,1.08762247940824,10.79655515312,"btd"
13,47.6582562356947,1.07053045474566,-14.8850619940601,"btd"
13,27.4068836579376,1.07202501734548,-35.1364345718172,"btd"
14,74.1857240096891,1.0740009888356,11.6424057799344,"btd"
14,48.8318193388863,1.06920399388409,-13.7114988908685,"btd"
15,73.5296706795311,1.07193172385603,10.9863524497763,"btd"
15,53.9599765941506,1.07322710077428,-8.58334163560411,"btd"
0,48.5689219426379,1.09734923619118,0,"btd"
1,47.3380125711749,1.02238240312958,-1.23090937146301,"btd"
2,48.2937950926806,1.04075201265205,-0.275126849957282,"btd"
3,52.2396056214807,1.06956554895669,3.67068367884284,"btd"
4,58.8564572478627,1.05893930195205,10.2875353052248,"btd"
5,74.2224567670455,1.06797582940311,25.6535348244076,"btd"
6,74.6306288718454,1.06407807903959,26.0617069292075,"btd"
0,70.1933418360333,1.07472496625713,0,"btd"
0,76.7154758141001,1.09180768971304,6.52213397806683,"btd"
1,82.6489021272252,1.10246495030775,12.4555602911919,"btd"
1,73.8557917218317,1.10154282980766,3.66244988579838,"btd"
2,77.26297011759,1.07964835103161,7.06962828155672,"btd"
2,74.4069265161492,1.07870155130757,4.21358468011589,"btd"
3,67.4228326935685,1.07912001954473,-2.77050914246477,"btd"
3,72.9757833189781,1.07382407435397,2.78244148294476,"btd"
4,64.946130968441,1.07699952064562,-5.24721086759226,"btd"
4,71.3383957296293,1.07974032950441,1.14505389359596,"btd"
5,59.7364314997705,1.06652457111678,-10.4569103362628,"btd"
5,72.0592470644432,1.0813714486753,1.86590522840993,"btd"
6,59.8615469049868,1.0667771236757,-10.3317949310465,"btd"
6,69.5876543208149,1.0824184668064,-0.605687515218392,"btd"
7,59.6303859827169,1.06719374963895,-10.5629558533164,"btd"
7,66.3707376745765,1.09506135289573,-3.82260416145685,"btd"
8,60.1225899048755,1.06638206573941,-10.0707519311578,"btd"
8,65.0479485983984,1.11767199158003,-5.14539323763488,"btd"
9,62.5731593262385,1.10380928223022,-7.62018250979477,"btd"
