experiment,dataset,date,scope,stock,medium,hypoxia,normoxia,position,condition,timestep,frame_experiment_start,frame_experiment_end,frame_hypoxia_start,frame_hypoxia_end,frame_gastrulation,frame_cf_folding_start,frame_gb_extension_start,frame_gb_extension_end,frame_clypeolabrum_start,frame_gb_retraction_start,frame_gb_retraction_end,frame_head_involution_start,frame_head_involution_end,frame_dorsal_closure_start,frame_dorsal_closure_end,frame_gut_partition_start,frame_gut_partition_end,frame_twitching_start,frame_tracheae_start,frame_hatching,time_plucking,bad_embryo,bad_twins,cephalic_furrow,hatched,discard,observations
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos16_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,16,evil_twins,3,1,483,10,41,14,16,,,,,138,,,,,,,,,,25,FALSE,FALSE,TRUE,FALSE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos17_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,17,evil_twins,3,1,483,10,41,26,41,,,,,145,,,,,,,,,,25,FALSE,FALSE,FALSE,FALSE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos18_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,18,control,3,1,483,10,41,,,,,,,,,,,,,,,,,25,TRUE,FALSE,,FALSE,FALSE,Bad embryo.
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos19_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,19,evil_twins,3,1,483,10,41,21,33,,,,,153,,,,,,,,,,25,FALSE,FALSE,FALSE,FALSE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos20_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,20,evil_twins,3,1,483,10,41,,,,,,,,,,,,,,,,,25,TRUE,FALSE,,FALSE,FALSE,Bad embryo.
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos21_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,21,evil_twins,3,1,483,10,41,25,34,,,,,147,,,,,,,,,444,25,FALSE,FALSE,FALSE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos22_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,22,control,3,1,483,10,41,11,10,,,,,121,,,,,,,,,350,25,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos23_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,23,evil_twins,3,1,483,10,41,19,26,,,,,222,,,,,,,,,,25,FALSE,FALSE,FALSE,FALSE,FALSE,Hard to say if normal CF is happening or EF.
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos24_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,24,control,3,1,483,10,41,22,22,,,,,135,,,,,,,,,353,25,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos25_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,25,evil_twins,3,1,483,10,41,25,35,,,,,146,,,,,,,,,,25,FALSE,FALSE,FALSE,FALSE,FALSE,
