 	Label	Area	StdDev	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
49	prd-Gap_1_t60s_E8_CARE_s19_0x0_w1705_h1012_flipn_f53-122.1.roi:1	8779.000	52.760	245.399	605.198	245.467	605.194	445.772	195.000	529.000	100.000	149.000	151.007	74.021	75.976	0.555	157.943	3249486.000	361	0.837	0.486	3249486.000	213	670	61.650	91.735	2.040	0.490	0.807
50	prd-Gap_1_t60s_E8_CARE_s19_0x0_w1705_h1012_flipn_f53-122.2.roi:1	110970.000	38.921	573.704	396.100	573.103	402.143	2123.395	468.000	73.000	230.000	812.000	766.593	184.311	82.572	0.309	821.937	42621063.000	374	1.268	1.839	42621063.000	506	885	78.348	216.264	4.159	0.240	0.846
51	prd-Gap_1_t60s_E9_CARE_s24_0x0_w1756_h1014_flipn_f55-124.1.roi:1	31822.000	40.208	213.218	603.514	213.800	603.861	845.619	137.000	452.000	163.000	312.000	294.375	137.637	85.268	0.559	312.231	10396591.000	319	0.996	1.052	10396591.000	214	764	87.797	153.167	2.139	0.468	0.898
52	prd-Gap_1_t60s_E9_CARE_s24_0x0_w1756_h1014_flipn_f55-124.2.roi:1	20833.000	25.857	491.275	262.967	491.212	264.759	763.193	436.000	135.000	109.000	268.000	283.150	93.680	87.734	0.449	276.024	7373941.000	347	1.323	2.224	7373941.000	464	403	75.309	108.042	3.023	0.331	0.856
53	prd-Gap_1_t60s_E9_CARE_s24_0x0_w1756_h1014_flipn_f55-124.3.roi:1	3947.000	18.455	736.590	245.054	736.739	245.463	296.635	715.000	184.000	49.000	121.000	118.218	42.510	93.721	0.564	121.334	1443444.000	364	0.673	0.196	1443444.000	727	184	94.254	47.520	2.781	0.360	0.910
54	rgap_1b_z3_t60s_E11_s20_0x80_w1738_h950_fliph_f38-107.1.roi:1	16323.000	867.925	270.949	532.818	271.172	532.449	806.004	227.000	396.000	118.000	313.000	289.035	71.905	77.027	0.316	319.277	45275537.000	2573	0.894	0.273	45275537.000	242	709	78.620	99.015	4.020	0.249	0.739
55	rgap_1b_z3_t60s_E11_s20_0x80_w1738_h950_fliph_f38-107.2.roi:1	171006.000	664.654	551.700	398.992	551.692	400.797	2339.728	414.000	24.000	298.000	880.000	875.453	248.707	82.003	0.393	890.505	505297982.000	2770	1.349	2.008	505297982.000	465	904	77.681	286.810	3.520	0.284	0.894
56	rgap_1b_z3_t60s_E11_s20_0x80_w1738_h950_fliph_f38-107.3.roi:1	6601.000	346.527	759.408	224.475	759.301	226.306	398.960	724.000	157.000	68.000	137.000	135.941	61.826	88.975	0.521	138.755	18946149.000	2801	1.141	1.505	18946149.000	745	294	80.877	67.600	2.199	0.455	0.855
57	rgap_1b_z3_t60s_E12_s20_0x40_w1809_h900_fliph_f37-106.1.roi:1	131532.000	695.814	578.742	514.658	579.939	507.726	1903.170	421.000	152.000	302.000	706.000	725.595	230.806	80.964	0.456	717.689	402864972.000	2870	1.170	1.241	402864972.000	478	858	79.645	237.964	3.144	0.318	0.907
58	rgap_1b_z3_t60s_E13_s22_0x40_w1765_h900_flipn_f32-101.1.roi:1	147148.000	717.080	534.016	410.708	534.819	411.228	2000.466	387.000	89.000	318.000	758.000	723.389	258.996	81.716	0.462	770.388	443468128.000	2828	1.240	1.791	443468128.000	463	847	79.303	290.001	2.793	0.358	0.900
59	rgap_1b_z3_t60s_E14_s20_0x30_w1733_h980_flipn_f34-103.1.roi:1	4024.000	616.190	278.645	654.029	278.764	653.317	325.404	249.000	603.000	66.000	121.000	117.691	43.534	73.221	0.478	123.859	10054379.000	2403	0.916	0.635	10054379.000	260	724	68.199	57.038	2.703	0.370	0.808
60	rgap_1b_z3_t60s_E14_s20_0x30_w1733_h980_flipn_f34-103.2.roi:1	142959.000	723.033	558.042	547.553	560.138	534.421	1986.751	412.000	217.000	303.000	707.000	733.332	248.211	80.117	0.455	720.684	423740522.000	2790	1.132	1.496	423740522.000	464	924	71.640	271.420	2.954	0.338	0.905
61	rgap_1b_z3_t60s_E15_s20_0x70_w1777_h980_fliph_f45-114.1.roi:1	3868.000	306.643	283.218	715.308	283.805	713.438	301.220	252.000	662.000	61.000	114.000	116.551	42.255	67.593	0.536	121.149	8368888.000	2102	0.818	0.346	8368888.000	259	776	70.219	51.229	2.758	0.363	0.864
62	rgap_1b_z3_t60s_E15_s20_0x70_w1777_h980_fliph_f45-114.2.roi:1	126625.000	507.596	565.987	595.025	567.517	586.165	1858.400	418.000	279.000	300.000	655.000	653.280	246.792	83.534	0.461	657.475	310136441.000	2301	1.180	1.268	310136441.000	497	934	85.026	280.260	2.647	0.378	0.878
63	rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.1.roi:1	30343.000	687.389	229.095	570.332	230.028	568.975	1000.070	158.000	392.000	156.000	375.000	345.708	111.753	78.568	0.381	376.821	70470619.000	2162	1.048	0.973	70470619.000	196	767	84.365	136.480	3.093	0.323	0.810
64	rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.2.roi:1	149925.000	617.850	521.797	510.603	525.202	499.687	2030.425	369.000	195.000	320.000	699.000	719.839	265.185	79.935	0.457	716.495	408482916.000	2597	0.986	0.935	408482916.000	436	894	76.604	304.033	2.714	0.368	0.898
