"Label","Embryo","Stock","Genotype","View","Side","Fold","Position","Type","Area","StdDev","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","RawIntDen","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","AreaCorr","E"
"btd-gap_z3_t55s_E10_CARE_s21_0x0_w1578_h1002_flipn_f1-70.1.roi","btd-gap_z3_t55s_E10","btd","heterozygote","lateral","left",TRUE,"mid","CF",153887,181.802,506.234,444.381,507.534,444.212,2541.669,367,61,311,871,891.049,219.893,79.122,0.299,892.774,186200678,1175,0.915,1.27,186200678,446,932,75.933,257.953,4.052,0.247,0.843,12018.3092,10
"btd-gap_z3_t55s_E12_CARE_s20_0x0_w1676_h1028_fliph_f1-70.1.roi","btd-gap_z3_t55s_E12","btd","heterozygote","lateral","left",TRUE,"mid","CF",143002,212.233,519.78,517.811,520.833,512.117,2250.03,372,91,291,882,891.06,204.336,80.323,0.355,900.067,172086318,1158,0.901,0.976,172086318,388,973,77.879,220.821,4.361,0.229,0.905,11212.727287,12
"btd-gap2_z3_t55s_E12_CARE_s24_0x0_w1724_h1106_fliph_f48-117.1.roi","btd-gap2_z3_t55s_E12","btd","heterozygote","lateral","left",TRUE,"mid","CF",98543,217.48,499.839,515.725,500.504,520.26,1823.388,395,180,200,744,712.253,176.158,87.248,0.372,746.496,120829781,1185,0.972,1.586,120829781,477,924,85.313,198.872,4.043,0.247,0.893,6964.344915,12
"btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.1.roi","btd-gap_z3_t55s_E6","btd","homozygote","lateral","left",TRUE,"ant","EF",7840,190.411,282.539,410.525,282.948,410.782,406.375,243,354,92,128,131.206,76.08,80.255,0.597,135.418,7924008,976,0.551,-0.591,7924008,262,482,69.692,89.72,1.725,0.58,0.854,591.195922,6
"btd-gap2_z3_t55s_E7_CARE_s20_0x0_w1721_h1029_flipn_f23-92.1.roi","btd-gap2_z3_t55s_E7","btd","homozygote","lateral","left",TRUE,"ant","EF",7095,103.782,253.389,841.867,252.628,839.782,459.002,213,746,85,171,170.569,52.962,110.872,0.423,177.775,7733816,1071,1.16,1.531,7733816,221,746,107.008,68.088,3.221,0.311,0.787,509.337464,7
"btd-gap_z3_t55s_E14_CARE_s24_0x0_w1685_h998_flipn_f18-87.1.roi","btd-gap_z3_t55s_E14","btd","homozygote","lateral","left",TRUE,"ant","EF",25053,186.43,314.018,482.248,314.039,481.822,921.401,237,305,143,338,342.915,93.022,79.063,0.371,339.848,26147304,1022,0.39,-0.641,26147304,303,641,81.369,114.919,3.686,0.271,0.774,1716.278857,14
"btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.3.roi","btd-gap_z3_t55s_E6","btd","homozygote","lateral","left",TRUE,"mid","EF",18248,177.797,604.002,258.644,603.909,258.439,787.619,555,138,107,277,276.284,84.095,87.51,0.37,278.498,21915623,1178,0.648,0.696,21915623,581,140,99.09,100.557,3.285,0.304,0.801,1570.328638,6
"btd-gap2_z3_t55s_E7_CARE_s20_0x0_w1721_h1029_flipn_f23-92.2.roi","btd-gap2_z3_t55s_E7","btd","homozygote","lateral","left",TRUE,"mid","EF",83592,194.38,495.213,465.859,495.588,466.317,1792.217,401,172,206,658,650.435,163.633,86.018,0.327,659.822,102289134,1204,0.414,0.115,102289134,453,830,85.741,196.735,3.975,0.252,0.858,6538.196698,7
"btd-gap_z3_t55s_E8_CARE_s22_0x0_w1762_h966_flipn_f32-101.1.roi","btd-gap_z3_t55s_E8","btd","homozygote","lateral","left",TRUE,"mid","EF",38869,225.621,535.36,399.907,535.886,401.807,1245.876,461,199,153,446,425.811,116.224,85.805,0.315,446.7,43649529,1085,0.772,0.514,43649529,498,645,86.792,152.095,3.664,0.273,0.785,3070.872494,8
"btd-hisgap1_E8_CARE_s22_0x0_w1619_h931_fliph_f81-150.1.roi","btd-hisgap1_E8","btd","homozygote","lateral","left",TRUE,"mid","EF",24273,127.956,482.829,475.294,483.043,475.407,932.573,430,291,115,393,364.106,84.88,83.089,0.351,396.043,19161155,771,0.442,-0.68,19161155,457,684,82.893,99.196,4.29,0.233,0.837,1696.382458,8
"btd-hisgap1_E8_CARE_s22_0x0_w1619_h931_fliph_f81-150.2.roi","btd-hisgap1_E8","btd","homozygote","lateral","left",TRUE,"mid","EF",18299,78.702,567.539,216.956,567.656,217.687,811.619,510,87,119,301,275.634,84.529,81.721,0.349,301.538,14898665,803,0.647,0.892,14898665,536,87,93.422,108.583,3.261,0.307,0.729,1372.487112,8
"btd-gap_z3_t55s_E14_CARE_s24_0x0_w1685_h998_flipn_f18-87.2.roi","btd-gap_z3_t55s_E14","btd","homozygote","lateral","left",TRUE,"mid","EF",54000,209.564,545.174,399.242,546.056,396.831,1363.918,455,188,190,487,456.475,150.622,84.134,0.365,489.663,59526434,1082,0.483,-0.074,59526434,541,675,84.022,176.841,3.031,0.33,0.844,4319.153455,14
"btd-gap_z3_t55s_E6_CARE_s25_0x0_w1618_h927_fliph_f17-86.4.roi","btd-gap_z3_t55s_E6","btd","homozygote","lateral","left",TRUE,"post","EF",7789,196.918,735.023,286.099,735.055,285.507,515.085,698,197,77,188,177.243,55.953,93.645,0.369,188.68,9357386,1178,0.597,0.03,9357386,731,197,94.865,67.974,3.168,0.316,0.767,679.887509,6
"btd-gap_z3_t55s_E8_CARE_s22_0x0_w1762_h966_flipn_f32-101.2.roi","btd-gap_z3_t55s_E8","btd","homozygote","lateral","left",TRUE,"post","EF",46850,217.972,767.886,338.085,767.813,341.383,1359.859,690,96,158,514,479.617,124.373,84.942,0.318,514.608,57133388,1176,0.758,0.332,57133388,743,610,87.215,147.276,3.856,0.259,0.839,3888.238025,8
"btd-hisgap1_E8_CARE_s22_0x0_w1619_h931_fliph_f81-150.3.roi","btd-hisgap1_E8","btd","homozygote","lateral","left",TRUE,"post","EF",22664,85.17,695.822,224.257,695.692,225.225,856.146,629,104,144,282,284.35,101.483,77.362,0.389,290.558,19171416,832,0.769,0.897,19171416,676,386,76.059,123.869,2.802,0.357,0.825,1810.187247,8
"eve-Gap_1_t45s_z3_E1_CARE_s21_0x0_w1845_h974_flipn_f51-120.1.roi","eve-Gap_1_t45s_z3_E1","eve","heterozygote","lateral","left",TRUE,"mid","CF",113951,182.281,611.015,372.477,608.973,383.242,1984.726,488,29,253,769,762.534,190.269,79.62,0.364,779.664,105667344,870,1.335,2.075,105667344,520,798,77.105,206.208,4.008,0.25,0.888,8008.264972,1
"eve-Gap_1_t45s_z3_E4_CARE_s15_0x398_w1798_h960_fliph_f76-145.1.roi","eve-Gap_1_t45s_z3_E4","eve","heterozygote","lateral","left",TRUE,"mid","CF",123619,169.361,603.292,393.35,602.333,402.493,2104.265,472,27,255,780,831.684,189.251,81.405,0.351,794.306,112766261,865,1.268,1.84,112766261,525,807,76.086,213.734,4.395,0.228,0.856,8739.769727,4
"eve-Gap1_t60s_z3_E4_CARE_s20_0x334_w1850_h1040_fliph_f15-84.1.roi","eve-Gap1_t60s_z3_E4","eve","heterozygote","lateral","left",TRUE,"mid","CF",125951,144.353,635.356,363.827,634.05,374.444,2152.265,508,28,278,797,796.067,201.448,79.416,0.342,811.976,107049573,815,1.108,1.398,107049573,547,825,77.265,243.182,3.952,0.253,0.869,9309.78971799999,4
"eve-Gap1_t60s_z3_E5_CARE_s24_0x172_w1794_h1070_fliph_f60-129.1.roi","eve-Gap1_t60s_z3_E5","eve","heterozygote","lateral","left",TRUE,"mid","CF",134860,184.467,604.789,450.49,603.193,459.571,2152.674,471,86,281,815,811.625,211.562,80.041,0.366,817.611,129538346,908,1.222,1.757,129538346,515,901,77.426,233.761,3.836,0.261,0.887,9870.175003,5
"eve-Gap1_t60s_z3_E9_CARE_s18_0x96_w1801_h942_flipn_f16-85.1.roi","eve-Gap1_t60s_z3_E9","eve","heterozygote","lateral","left",TRUE,"mid","CF",132032,156.778,707.629,379.094,706.897,387.514,2181.076,587,34,264,806,810.547,207.401,81.937,0.349,809.209,114117797,817,1.382,2.263,114117797,636,840,84.895,232.574,3.908,0.256,0.884,9978.63003000001,9
"eve-Gap1_t60s_z3_E11_CARE_s18_0x0_w1824_h1040_fliph_f26-95.1.roi","eve-Gap1_t60s_z3_E11","eve","heterozygote","lateral","left",TRUE,"mid","CF",150887,182.232,618.653,401.467,617.347,417.519,2298.071,485,11,278,839,883.114,217.543,83.035,0.359,844.683,141588694,905,0.878,0.629,141588694,563,850,80.46,244.238,4.059,0.246,0.883,11056.939762,11
"eve-Gap1_t60s_z3_E16_CARE_s15_0x0_w1799_h1052_flipn_f41-110.1.roi","eve-Gap1_t60s_z3_E16","eve","heterozygote","lateral","left",TRUE,"mid","CF",148955,172.186,620.424,414.799,619.38,425.405,2213.947,489,56,283,796,843.172,224.931,81.941,0.382,818.827,136875817,887,0.893,0.75,136875817,498,846,72.517,254.254,3.749,0.267,0.899,11013.667918,16
"eve-Gap_1_t45s_z3_E11_CARE_s14_0x0_w1813_h992_flipn_f48-117.1.roi","eve-Gap_1_t45s_z3_E11","eve","homozygote","lateral","left",TRUE,"ant","EF",78820,207.401,301.42,407.109,304.531,403.83,1406.403,168,152,262,501,497.127,201.873,75.635,0.501,514.417,71002725,867,0.848,0.826,71002725,223,653,74.208,210.776,2.463,0.406,0.892,4604.259001,11
"eve-Gap1_t60s_z3_E2_CARE_s22_0x0_w1797_h1014_flipn_f6-75.1.roi","eve-Gap1_t60s_z3_E2","eve","homozygote","lateral","left",TRUE,"mid","EF",14446,132.632,397.725,290.306,397.17,291.489,528.985,334,196,126,184,185.501,99.154,64.467,0.649,193.536,13030619,874,0.927,0.699,13030619,363,380,71.94,104.648,1.871,0.535,0.927,963.515818999999,2
"eve-Gap1_t60s_z3_E12_CARE_s19_0x0_w1877_h1008_flipn_f6-75.1.roi","eve-Gap1_t60s_z3_E12","eve","homozygote","lateral","left",TRUE,"mid","EF",93933,206.316,518.992,367.118,517.769,376.959,1768.133,379,82,291,620,642.824,186.053,72.467,0.378,644.771,85513553,852,1.385,2.164,85513553,447,702,74.067,206.653,3.455,0.289,0.884,6536.077909,12
"eve-Gap1_t60s_z3_E2_CARE_s22_0x0_w1797_h1014_flipn_f6-75.2.roi","eve-Gap1_t60s_z3_E2","eve","homozygote","lateral","left",TRUE,"post","EF",15868,33.407,603.153,88.571,603.001,89.813,571.512,533,20,142,163,154.621,130.666,76.737,0.61,172.351,11339783,707,1,0.775,11339783,555,20,108.961,138.098,1.183,0.845,0.903,1192.549453,2
"eve-Gap_1_t45s_z3_E11_CARE_s14_0x0_w1813_h992_flipn_f48-117.2.roi","eve-Gap_1_t45s_z3_E11","eve","homozygote","lateral","left",TRUE,"post","EF",52348,136.61,667.161,166.875,668.215,174.362,1090.881,565,3,206,371,347.235,191.949,90.487,0.553,371.775,53015949,985,1.142,1.826,53015949,644,374,86.299,205.199,1.809,0.553,0.916,3917.27221,11
"eve-Gap1_t60s_z3_E12_CARE_s19_0x0_w1877_h1008_flipn_f6-75.2.roi","eve-Gap1_t60s_z3_E12","eve","homozygote","lateral","left",TRUE,"post","EF",17080,63.617,797.05,152.733,797.361,155.074,590.825,733,58,137,192,182.532,119.14,88.989,0.615,193.373,13940251,799,1.534,2.923,13940251,794,250,83.169,135.409,1.532,0.653,0.893,1325.247865,12
"eve-Gap_1_E13_CARE_s14_0x0_w1867_h1068_fliph_f11-80.1.roi","eve-Gap_1_E13","eve","homozygote","lateral","left",TRUE,"post","EF",52938,174.636,622.923,281.439,624.519,290.413,1159.207,535,80,185,432,403.819,166.913,95.14,0.495,434.37,49058838,888,0.92,0.584,49058838,581,81,97.141,184.532,2.419,0.413,0.907,3881.417347,13
"prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.1.roi","prd-Gap_1_t60s_E2","prd","heterozygote","lateral","left",TRUE,"ant","EF",11470,46.714,258.276,563.222,258.386,563.432,586.039,215,450,89,231,215.599,67.737,79.771,0.42,233.788,4199947,357,0.819,0.507,4199947,239,681,81.142,84.791,3.183,0.314,0.82,773.229236,2
"prd-Gap_1_t60s_E3_CARE_s22_0x0_w1544_h998_fliph_f49-118.1.roi","prd-Gap_1_t60s_E3","prd","heterozygote","lateral","left",TRUE,"ant","EF",9455,57.46,210.805,513.455,211.576,513.137,594.139,162,434,102,225,188.584,63.836,89.385,0.337,225.435,3517923,359,1.132,1.103,3517923,206,659,86.44,101.222,2.954,0.339,0.637,664.278391999999,3
"prd-Gap_1_t60s_E5_CARE_s22_0x0_w1800_h1032_fliph_f50-119.1.roi","prd-Gap_1_t60s_E5","prd","heterozygote","lateral","left",TRUE,"ant","EF",13682,41.282,285.627,494.047,285.991,493.936,555.654,239,382,93,218,211.607,82.325,81.974,0.557,220.952,4736161,338,0.78,0.056,4736161,280,600,80.623,91.875,2.57,0.389,0.882,883.406349,5
"prd-Gap_1_t60s_E8_CARE_s19_0x0_w1705_h1012_flipn_f53-122.1.roi","prd-Gap_1_t60s_E8","prd","heterozygote","lateral","left",TRUE,"ant","EF",8779,52.76,245.399,605.198,245.467,605.194,445.772,195,529,100,149,151.007,74.021,75.976,0.555,157.943,3249486,361,0.837,0.486,3249486,213,670,61.65,91.735,2.04,0.49,0.807,548.913096,8
"prd-Gap_1_t60s_E11_CARE_s24_0x0_w1732_h1000_flipn_f30-99.1.roi","prd-Gap_1_t60s_E11","prd","heterozygote","lateral","left",TRUE,"ant","EF",31499,41.873,241.931,567.862,242.148,567.938,1035.994,177,360,133,447,453.73,88.391,81.959,0.369,455.58,11389967,353,0.898,0.6,11389967,195,807,78.863,107.689,5.133,0.195,0.789,1825.478301,11
